FBD_tiplabel,renameSequencingData,Name.v3,nicheRecon,genus,gen_sect.abb
LOduratifolia_P009_WG09_SS_0,LOduratifolia_P009_WG09_SS,Quercus_duratifolia,Y,Quercus,LO
LOdurifolia_F084_WG11_A_0,LOdurifolia_F084_WG11_A,Quercus_durifolia,Y,Quercus,LO
LOeduardii_F086_WH10_A_0,LOeduardii_F086_WH10_A,Quercus_eduardii,Y,Quercus,LO
LOellipsoidalis_F086_WE10_A_0,LOellipsoidalis_F086_WE10_A,Quercus_ellipsoidalis,Y,Quercus,LO
LOelliptica_K010_WH05_A_0,LOelliptica_K010_WH05_A,Quercus_elliptica,Y,Quercus,LO
LOemoryi_F001_WC12_A_0,LOemoryi_F001_WC12_A,Quercus_emoryi,Y,Quercus,LO
LOeugeniifolia_P012_WC09_SP_0,LOeugeniifolia_P012_WC09_SP,Quercus_eugeniifolia,Y,Quercus,LO
LOfalcata_trans_A_0,LOfalcata_trans_A,Quercus_falcata,Y,Quercus,LO
LOfulva_F079_WG07_A_0,LOfulva_F079_WG07_A,Quercus_fulva,Y,Quercus,LO
LOfurfuracea_P012_WD01_A_0,LOfurfuracea_P012_WD01_A,Quercus_furfuracea,Y,Quercus,LO
LOgaleanensis_P012_WC12_A_0,LOgaleanensis_P012_WC12_A,Quercus_galeanensis,Y,Quercus,LO
LOgentryi_F079_WC08_A_0,LOgentryi_F079_WC08_A,Quercus_gentryi,Y,Quercus,LO
LOgraciliformis_P012_WB07_SP_0,LOgraciliformis_P012_WB07_SP,Quercus_graciliformis,Y,Quercus,LO
LOgracilior_P011_WG09_A_0,LOgracilior_P011_WG09_A,Quercus_gracilior,Y,Quercus,LO
LOgrahamii_P011_WC11_A_0,LOgrahamii_P011_WC11_A,Quercus_grahamii,Y,Quercus,LO
LOgravesii_F086_WH05_A_0,LOgravesii_F086_WH05_A,Quercus_gravesii,Y,Quercus,LO
LOgulielmi_treleasei_P009_WD06_A_0,LOgulielmi_treleasei_P009_WD06_A,Quercus_gulielmi_treleasei,Y,Quercus,LO
